,index,ReachID,SiteID,Year,Date,BRLat,BRLong,BFWidth,Grad,RchLen,BF_WDRatio,BF_Height,RPD ,PctPool,Sin ,PctDry,BankAngle,D50,PoolTailFines2,PctFines2,PctFines6,LWD_Freq,LWD_Vol,Program,nvcs_ecosystem,nvcs_group,nvcs_macrogroup,nvcs_division,nvcs_formation,nvcs_subclass,nvcs_class,nvcs_date_checked
0,0,6478,3226,2012.0,,42.076802777800005,-113.677480556,4.7,1.702,171.0,28.76,,0.11,8.65,31.666999999999998,,145.0,0.002,89.5,,,11.7,0.588,PIBO,Inter-Mountain Basins Montane Sagebrush Steppe,Intermountain Mountain Big Sagebrush Steppe & Shrubland,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,Western North American Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Desert & Semi-Desert,2019-09-04T18:09:20.865104
1,1,6356,3110,2011.0,,45.491119921300005,-118.170850345,1.77,11.712,149.5,11.81,,0.2,7.49,8.794,,111.0,0.013999999999999999,12.86,,,541.81,227.465,PIBO,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Central Rocky Mountain Douglas-fir - Pine Forest,Central Rocky Mountain Dry Lower Montane-Foothill Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:21.451460
2,2,5233,2840,2009.0,,44.535637,-112.486021,2.48,0.675,162.9,7.5,,0.33,62.31,5.656000000000001,,113.0,0.011000000000000001,13.0,,,0.0,0.0,PIBO,"Northern Rocky Mountain Lower Montane, Foothill and Valley Grassland","Central Rocky Mountain Lower Montane, Foothill & Valley Grassland",Central Rocky Mountain Montane-Foothill Grassland & Shrubland,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:22.309079
3,3,5132,2739,2009.0,,44.825773999999996,-112.180304,8.64,0.634,203.5,16.89,,0.48,57.44,3.99,,111.0,0.057999999999999996,1.9,,,24.57,2.0669999999999997,PIBO,Rocky Mountain Subalpine-Montane Mesic Meadow,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:23.088779
4,4,5031,903,2009.0,,45.040642999999996,-117.44119099999999,13.32,0.426,267.5,24.54,,0.74,52.45,3.591,,90.0,0.0365,6.27,,,811.21,366.49699999999996,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
5,5,2535,1930,2006.0,,45.076244,-111.31999499999999,15.29,0.392,291.0,65.4,,1.05,55.4,3.5660000000000003,,94.0,0.042,3.0,,,0.0,0.0,PIBO,Rocky Mountain Subalpine-Montane Mesic Meadow,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,Western North American Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation,2019-09-04T18:09:24.795803
6,6,3981,903,2007.0,,45.040642999999996,-117.44119099999999,13.52,0.381,262.8,30.69,,0.76,57.65,3.5469999999999997,,89.0,0.019,21.6,,,677.32,353.44599999999997,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
7,7,6499,3247,2012.0,,45.269122222200004,-116.203441667,1.73,1.3159999999999998,133.0,6.19,,0.14,30.53,3.4819999999999998,,95.0,0.002,60.42,,,165.41,49.544,PIBO,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Rocky Mountain Subalpine Dry-Mesic Spruce - Fir Forest & Woodland,Rocky Mountain Subalpine-High Montane Conifer Forest,Rocky Mountain Cool Temperate Forest & Woodland,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:26.018822
8,8,5319,2927,2009.0,,40.263766,-111.22266499999999,6.51,0.156,167.1,12.86,,0.74,68.76,3.4810000000000003,,126.0,0.025,26.79,,,23.94,15.48,PIBO,Rocky Mountain Alpine-Montane Wet Meadow,Vancouverian & Rocky Mountain Montane Wet Meadow & Marsh,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland","Western North American Freshwater-Marsh, Wet Meadow & Shrubland","Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",Shrub & Herb Wetland,Shrub & Herb Vegetation,2019-09-04T18:09:26.568775
9,9,1306,903,2003.0,,45.040642999999996,-117.44119099999999,12.02,0.358,288.1,44.39,,0.72,50.43,3.4419999999999997,,76.0,0.02,10.03,,,794.86,232.97799999999998,PIBO,Rocky Mountain Subalpine-Montane Riparian Woodland,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Riparian Forest,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,Temperate Flooded & Swamp Forest,Temperate & Boreal Forest & Woodland,Forest & Woodland,2019-09-04T18:09:23.969580
