"","SITE_CD","STRM_NM","MS_CD","UID","DT","MRG_SITE_CD","VST_NMBR","MIDLAT","MIDLONG","PRJCT","PRTCL","ADMIN_ST","PARENT_CD","ADMIN_UNIT_CD","STRTM","TRGTD","STRM_ORDR","STRM_SZ_ORDER","STRM_SZ_BNK","NAMC_BENCHMARK","ECRGN","CLIMATE","BTMLAT","BTMLONG","TRLAT","TRLONG","TOT_RCH_LEN","FLD_STATUS","PCT_OVRHD_CVR","BK_OVRHD_CVR","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","INVSVE_INVRT_SP","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","OE_MACROINVRTBRTE","MMI_MACROINVRTBRTE","OE_MMI_MOD_USD","MOD_APPLCBLTY","MACROINVRTBRTE_CNT","TTL_N","PRD_TTL_N","TTL_P","PRD_TTL_P","SPCFC_CNDCTNCE","PRD_SPCFC_CNDCTNCE","pH","INSTNT_TEMP","TRBDTY","PCT_PL","RES_PL_DEP","PL_FREQ","LWD_FREQ","LWD_VL","PCT_FN","PCT_FN6","D16","D84","D50","GMTRC_MN_PRTCLE_DIAM","PL_TL_FN","PL_TL_FN6","BNK_CVR","BNK_CVR_STBLTY","BNK_STBLTY","BNK_CVR_BDRCK","BNK_CVR_CBBLE","BNK_CVR_LWD","BNK_CVR_VEG","BNKFLL_HT","INCSN_HT","FLDPLN_CNNCTVTY","INSTRM_HBTT_CMPLXTY","BNK_AN","THLWG_DEP_CV","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FLD_WT","ENTRCH","SLPE","SNSTY","BVR_FLW_MD","BVR_SGN","WTR_WTHDRWL","DATECHNGE","CHNGRSN","GlobalID","coords.x1","coords.x2","optional"
"1","MP-LS-2008","NORTH FORK KAWEAH RIVER","BLM13-2008","11809","2013/06/27 00:00:00",NA,"1",36.5719,-118.8977,"WRSA","WADEABLE","CA","CAC00000","CAC06000","MT_PNW","Random","3","LS","LargeWadeable","PacificNorthwestXericCalifornia_LargeWadeable","PacificNorthwest","Xeric",36.5709,-118.8978,36.5725,-118.8989,305,"Sampled - Full Reach",61.1,83.7,1.33,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.94207256,NA,"CA_CSCI",NA,401,87.7,86.2,5.5,11.5,101.5,79.8,6.6,24.7,NA,NA,NA,NA,5.902,1.731,17.1,NA,NA,NA,NA,NA,NA,NA,95,95,100,NA,NA,NA,NA,0.6,1.06,-0.25,0.7,NA,0.64,0.56,0,13.23,7.69,NA,NA,1.93,1.5,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{448240B2-FC08-4C41-86C2-1E9FDC22BE5F}",-118.8977,36.5719,TRUE
"2","MP-LS-2018","NORTH FORK AMERICAN RIVER","BLM13-2018","13517","2013/08/27 00:00:00",NA,"1",39.1047,-120.9249,"WRSA","WADEABLE","CA","CAC00000","CAC08000","MT_PNW","Random","4","LS","LargeWadeable","PacificNorthwestXericCalifornia_LargeWadeable","PacificNorthwest","Mountains",39.1024,-120.9251,39.1067,-120.9241,520,"Sampled - Full Reach",0,24.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.84216407,NA,"CA_CSCI",NA,401,23.3,86.6,8,15.2,132.9,103.3,8.4,21.2,NA,NA,NA,NA,0.962,0.109,4.8,NA,NA,NA,NA,NA,NA,NA,95,95,100,NA,NA,NA,NA,1.98,2.04,-0.81,0.29,NA,0.45,0.82,0,32.08,17.8,NA,NA,0.59,1.07,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{B0775078-B484-4540-B5AC-C0174787FA77}",-120.9249,39.1047,TRUE
"3","MP-RM-2051","Eel River","BLM13-2051","2985929604","2015/08/14 00:00:00",NA,"1",39.575768,-123.288282,"WRSA","WADEABLE","CA","CAN00000","CAN03000","MT_PNW","Random","5","RM","LargeWadeable","PacificNorthwestXericCalifornia_LargeWadeable","PacificNorthwest","Mountains",39.578169,-123.286914,39.57299,-123.290748,630,"Sampled - Partial Reach",NA,24.1,0.58,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,0.60815542,NA,"CA_CSCI",NA,401,162.1,111.9,6.8,10.1,192.1,217,8.61,22.6,NA,NA,NA,NA,0,0,8,NA,NA,NA,NA,NA,NA,NA,86,86,100,NA,NA,NA,NA,0.46,1.26,-0.04,0.35,NA,NA,NA,0,26.01,22.32,NA,NA,0.05,NA,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{D9A10241-6300-453A-9917-A27542B55379}",-123.288282,39.575768,TRUE
"4","MP-SS-2105",NA,"BLM13-2105","3244018445","2014/08/28 00:00:00",NA,"1",40.712084,-122.611341,"WRSA","WADEABLE","CA","CAN00000","CAN06000","MT_PNW","Random","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Mountains",40.712025,-122.611954,40.712,-122.610638,150,"Sampled - Full Reach",92.7,95.5,0.97,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.75240652,NA,"CA_CSCI",NA,401,122,102,41.6,12.2,78.2,168.2,7.2,19.1,NA,30.22,0.34,46.7,2,0.782,2.9,3.3,20,200,70,6,NA,NA,95,95,100,NA,NA,NA,NA,0.51,0.84,-0.36,0.43,111,0.79,0.19,0,4.3,2.25,NA,NA,0.2,1.35,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{1884AC37-F474-4955-A642-55B07E0FB801}",-122.611341,40.7120840000001,TRUE
"5","OT-LS-7001","Bear Creek","BLM13-7001","1500447187","2014/06/18 00:00:00",NA,"1",39.003108,-122.354745,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","4","LS","LargeWadeable","PacificNorthwestXericCalifornia_LargeWadeable","PacificNorthwest","Xeric",39.0009,-122.35539,39.00497,-122.35645,530,"Sampled - Full Reach",17,56.1,1.67,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.56989404,NA,"CA_CSCI",NA,401,1860,201,13.7,26.2,5840,376.5,9.18,26.5,NA,42.21,0.95,20.8,0.189,0.047,38.5,46.5,1,56,8,2,NA,NA,64,64,97,NA,NA,NA,NA,0.48,1.05,-0.17,0.38,128,NA,NA,0,12.37,8.22,NA,NA,0.15,1.15,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{5E46FEBC-FE97-46B6-A693-32204BC733FF}",-122.354745,39.0031080000001,TRUE
"6","OT-LS-7002","CLEAR CREEK","BLM13-7002","13516","2013/08/28 00:00:00",NA,"1",40.4945,-122.4337,"WRSA","WADEABLE","CA","CAN00000","CAN06000","Other","Random","4","LS","LargeWadeable","PacificNorthwestXericCalifornia_LargeWadeable","PacificNorthwest","Xeric",40.4961,-122.4307,40.4951,-122.4372,640,"Sampled - Full Reach",2.3,69,1.5,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.91492122,NA,"CA_CSCI",NA,401,135.1,102.5,10.5,11.7,84.7,187.5,8.55,19.3,NA,NA,NA,NA,0.625,0.056,17.1,NA,NA,NA,NA,NA,NA,NA,81,81,100,NA,NA,NA,NA,0.38,0.8,-0.28,0.12,NA,0.59,0.67,0,23.57,18.92,NA,NA,0.31,1.14,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{AF048F9A-4C1B-4A68-88DE-33A8C23149E9}",-122.4337,40.4945000000001,TRUE
"7","OT-LS-7005","Scotts Creek","BLM13-7005","9782437507","2015/08/08 00:00:00",NA,"1",39.113454,-123.047642,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","3","LS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Xeric",39.112792,-123.047995,39.113962,-123.047547,150,"Sampled - Interrupted Flow",93.6,95.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.50269079,NA,"CA_CSCI",NA,401,310.8,213.2,70.4,11.6,836,300.7,6.71,18.5,NA,NA,NA,NA,0.667,0.307,12.4,15.7,7,4097,36,6,NA,NA,71,71,100,NA,NA,NA,NA,0.3,0.3,-1,0.16,117,NA,NA,50.5,5.14,1.24,NA,NA,1.13,1.11,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{BF584DB9-27EB-4DD2-ABE6-B141734B9A45}",-123.047642,39.113454,TRUE
"8","OT-LS-7006","Unnamed","BLM13-7006","3546443591","2014/06/16 00:00:00",NA,"1",34.030514,-116.713253,"WRSA","WADEABLE","CA","CAD00000","CAD06000","Other","Random","4","LS","SmallWadeable","SouthwestMountains_SmallWadeable","SouthwestMountains","Mountains",34.03113,-116.71327,34.02986,-116.71346,150,"Sampled - Full Reach",0.5,5.2,0.16,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.82016784,NA,"CA_CSCI",NA,401,588,185.8,10,19.9,340.3,228.2,8.25,19.1,NA,NA,NA,NA,0,0,9.1,12.7,8,60,26,4,NA,NA,11,11,100,NA,NA,NA,NA,0.17,0.43,-0.44,0.36,133,NA,NA,0,4.13,2.31,NA,NA,4.5,1.05,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{5AC6FFBE-49DA-4CAC-B329-9BB77678567C}",-116.713253,34.030514,TRUE
"9","OT-LS-7009","CLEAR CREEK","BLM13-7009","11808","2013/06/26 00:00:00",NA,"1",36.3774,-120.694,"WRSA","WADEABLE","CA","CAC05000","CAC09000","Other","Random","3","LS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",36.3773,-120.6957,36.3776,-120.6941,150,"Sampled - Full Reach",10.4,21.4,0.33,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.67063826,NA,"CA_CSCI",NA,401,240.4,227.4,11.6,33.3,412.4,401.3,3.88,24.8,NA,NA,NA,NA,0,0,37.1,NA,NA,NA,NA,NA,NA,NA,10,10,100,NA,NA,NA,NA,0.19,0.38,-0.54,0.05,NA,0.4,0.1,0,2.6,2.56,NA,NA,2.31,1.02,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{487EF5CF-E2EB-4730-8B2A-C87566D1D4E2}",-120.694,36.3774000000001,TRUE
"10","OT-LS-7017","Bear Creek","BLM13-7017","1159238149","2014/06/20 00:00:00",NA,"1",38.9489,-122.35,"WRSA","WADEABLE","CA","CAC00000","CAC05000","Other","Random","4","LS","LargeWadeable","PacificNorthwestXericCalifornia_LargeWadeable","PacificNorthwest","Xeric",38.9483,-122.34967,38.94956,-122.34985,150,"Sampled - Full Reach",3.1,26.5,0.65,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,0.49550561,NA,"CA_CSCI",NA,398,730,198.4,20.4,25.9,5280,395.2,9.31,28.3,NA,61.13,0.26,86.7,0,0,7.6,12.4,9,4097,425,13,NA,NA,62,62,100,NA,NA,NA,NA,0.42,1.13,-0.09,0.26,158,0.66,0.22,0,19.52,3.76,NA,NA,1.3,1.06,"NONE","ABSENT",NA,"2017/07/11 00:00:00","Initial import into Aquadat","{9DB35E84-74C3-47AF-9179-8A5D224BDF96}",-122.35,38.9489,TRUE
