SiteID,RchID,Stream,Yr,Project,Type,PanelYr,HUC6,SiteName,Group,Order,Region,Forest,District,State,Lat,Long,FedPct,Mgmt,StrmFlow,Area,Elev,AvgPrecip,TotalIndex,Cond,Bf,RchLen,Grad,Sin,PoolDp,PoolFrq,PoolPct,WDTrans,WDWetTrans,D50,PTFines2,PTFines6,Stab,VegStab,BankAngle,UnCutPct,LWFrq,LWVol
3226,6478,Main Circle 2,2012,CNTRCT,I,,1.70E+11,524-14-I,524,14,NPS,NPS,City of Rocks NR,ID,42.07680278,-113.6774806,2.292217637,Managed,Other (make detailed comment),17.41688952,1755.428467,0.47226,0,380,4.7,171,1.702,31.667,0.11,29.24,8.65,28.76,81.15,0.002,89.5,100,100,76.19,145,6.06,11.7,0.588
3110,6356,Bear,2011,CRB,K,1,1.71E+11,141-01-K,141,1,R6,Umatilla,Walla Walla,OR,45.49111992,-118.1708503,100.0028099,Managed,Flow (whole reach),0.728079542,1457.585083,0.97533,60.98555,20,1.77,149.5,11.712,8.794,0.2,46.82,7.49,11.81,19.01,0.014,12.86,21.14,97.92,77.08,111,22.92,541.81,227.465
2840,5233,Sawmill,2009,MRB,I,4,1.00E+11,218-20-I,218,20,R1,Beaverhead-Deerlodge,Dillon,MT,44.535637,-112.486021,96.51,Managed,Flow (whole reach),34.26,2122,0.563,24.87507067,310,2.48,162.9,0.675,5.656,0.33,116.64,62.31,7.5,6.48,0.011,13,36.67,100,90.48,113,21.95,0,0
2739,5132,E.F. Blacktail Deer,2009,MRB,I,4,1.00E+11,298-06-I,298,6,R1,Beaverhead-Deerlodge,Madison ,MT,44.825774,-112.180304,95.79,Managed,Flow (whole Reach),56.36,2248,0.782,65.10066362,190,8.64,203.5,0.634,3.99,0.48,34.4,57.44,16.89,25.35,0.058,1.9,5.52,88.1,80.95,111,23.81,24.57,2.067
903,5031,Eagle,2009,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,57.18613371,40,13.32,267.5,0.426,3.591,0.74,18.69,52.45,24.54,32.88,0.0365,6.27,52.19,97.67,76.74,90,56.1,811.21,366.497
1930,2535,Taylor Fork,2006,MRB,I,1,1.00E+11,213-13-I,213,13,R1,Gallatin,Hebgen Lake,MT,45.076244,-111.319995,89.64,Managed,Flow (whole reach),119.84,2145.2,0.906,52.5731905,110,15.29,291,0.392,3.566,1.05,13.75,55.4,65.4,75.3,0.042,3,4.33,80.95,26.19,94,42.86,0,0
903,3981,Eagle,2007,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,60.52567897,30,13.52,262.8,0.381,3.547,0.76,19.03,57.65,30.69,101,0.019,21.6,30.8,97.73,61.36,89,51.35,677.32,353.446
3247,6499,Partridge,2012,CRB,K,2,1.71E+11,122-13-K,122,13,R4,Payette,New Meadows,ID,45.26912222,-116.2034417,100.0000494,Managed,Flow (whole reach),0.46056677,2328.395508,1.38367,10.70598078,20,1.73,133,1.316,3.482,0.14,97.74,30.53,6.19,22.31,0.002,60.42,69.58,100,97.62,95,45.24,165.41,49.544
2927,5319,Strawberry Restored 09,2009,OTHER,I,,1.41E+11,499-23-I,499,23,R4,Uinta-Wasatch-Cache,Heber-Kamas,UT,40.263766,-111.222665,99.99,Managed,Flow (whole reach),108.76,2348,0.787,,290,6.51,167.1,0.156,3.481,0.74,29.92,68.76,12.86,16.32,0.025,26.79,27.73,100,80.95,126,19.51,23.94,15.48
903,1306,Eagle,2003,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,,59.12,1448.4,1.409,69.82199881,30,12.02,288.1,0.358,3.442,0.72,17.36,50.43,44.39,64.28,0.02,10.03,14.47,95.83,45.83,76,63.89,794.86,232.978
903,2419,Eagle,2006,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,Flow (whole reach),59.12,1448.4,1.409,60.32519415,20,14.68,248.6,0.392,3.392,1.2,12.07,56.96,35.24,93.64,0.023,12.22,28.67,97.62,78.57,105,38.1,619.47,235.738
903,1304,Eagle,2001,CRB,IS,5,1.71E+11,139-12-IS,139,12,R6,Wallowa-Whitman,Whitman ,OR,45.040643,-117.441191,100,Managed,,59.12,1448.4,1.409,,40,12.56,306.9,0.394,3.296,0.68,16.29,50.99,40.35,125.42,0.021,,,98.08,51.92,100,40,619.09,184.755
