"Category","LongName","Field","DataType","AREMPColumn","BLMColumn","EPA2008Column","EPA2004Column","PIBOColumn","Subset_of_Metrics"
"Darwin Core","type","type",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","modified","modified","Date",NA,NA,NA,NA,NA,"x"
"Darwin Core","bibilographicCititation","bibilographicCititation","Character",NA,NA,NA,NA,NA,"x"
"Darwin Core","CollectionID","CollectionID","Character",NA,NA,NA,NA,NA,"x"
"Darwin Core","datasetID","datasetID","Intergre (need to check this)",NA,NA,NA,NA,NA,"x"
"Darwin Core","Institution Code","institutionCode","Character",NA,NA,NA,NA,NA,"x"
"Location","From the Dataset Location Identification","verbatimLocation","Character","site_survey_id","UID","UID",NA,"RchID","x"
"Location","From the Data Set Latitude","verbatimLatitude","Double","lattitude","BTMLAT","LAT_DD83","LAT_DD","Lat","x"
"Location","From the dataset Longitude","verbatimLongitude","Double","longitude","BTMLONG","LON_DD83","LON_DD","Long","x"
"Location","Stream Name From the Dataset","verbatimWaterbody","Character",NA,"STRM_NM",NA,"SITENAME","Stream","x"
"Location","State From the Dataset","State","Text","STATES","ADMIN_ST","STATE","STATE","State","x"
"Darwin Core - Event","Event Identificiation","eventID","Character",NA,NA,NA,NA,NA,"x"
"Darwin Core - Event","Site Identification","locationID","Character","GLOBALID","MS_CD","SITE_ID","SITE_ID","SiteID","x"
"Darwin Core - Event","Sample Year","Year","Interger","survey_year",NA,"YEAR","YEAR","Yr","x"
"Darwin Core - Event","Sample Date","verbatimEventDate","Date",NA,"DT","DATE_COL",NA,NA,"x"
"Channel dimensions","Average bankfull width from transects","BFWidth","Double","average_bfwidth","BNKFLL_WT","XBKF_W","XBKF_W","Bf","x"
"Channel dimensions","Gradient of stream reach","Grad","Double","gradient","SLPE","XSLOPE","XSLOPE","Grad","x"
"Channel dimensions","Length of sampling reach","RchLen","Double","REACH_LENGTH","TOT_RCH_LEN","REACHLEN","REACHLEN","RchLen","x"
"Channel dimensions","Bankfull width-to-depth ratio at transects","BFWDRatio","Double",NA,NA,"BFWD_RAT","BFWD_RAT","WDTrans","x"
"Channel dimensions","Bankfull Height","BFHeight","Double","average_bfdepth","BNKFLL_HT","XBKF_H","XBKF_H",NA,"x"
"Channel dimensions","Average wetted width from transects","WetWidth","Double",NA,"WTTD_WT","XWIDTH","XWIDTH",NA,"x"
"Channel dimensions","Wetted width-to-depth ratio at transects","WetWidthToDepth","Double",NA,NA,"XWD_RAT","XWD_RAT","WDWetTrans","x"
"Pools","Residual pool depth","RPD","Double",NA,"RES_PL_DEP","RP100","RP100","PoolDp","x"
"Pools","Percent pools","PctPool","Double",NA,"PCT_PL","PCT_POOL","PCT_POOL","PoolPct","x"
"Channel Characteristics","Sinuosity of Local Stream Reach","Sin","Double",NA,"SNSTY","SINU","SINU","Sin","x"
"Channel Characteristics","Percent of Reach that is Dry","PctDry","Double",NA,"PCT_DRY","PCT_DRS","PCT_DRS",NA,"x"
"Channel Characteristics","Beaver Sign at Reach","Beaver","Character",NA,"BVR_SGN",NA,NA,NA,"x"
"Channel Characteristics","Stream Order","StreamOrder","Double",NA,"STRM_ORDR","STRAHLERORDER",NA,NA,"x"
"Substrate","Diameter of the 50th percentile streambed particle","D50","Double",NA,"D50",NA,NA,"D50","x"
"Substrate","Percent of streambed particles <2mm","PctFines2","Double",NA,"PCT_FN","PCT_SAFN","PCT_SAFN",NA,"x"
"Substrate","Percent of streambed particles <6mm","PctFines6","Double",NA,"PCT_FN6","PCT_FN","PCT_FN",NA,"x"
"Substrate","Percent pool tail fines < 2mm","PoolTailFines2","Double",NA,"PL_TL_FN",NA,NA,"PTFines2","x"
"Substrate","Percent pool tail fines < 6mm","PoolTailFines6","Double",NA,"PL_TL_FN6",NA,NA,"PTFines6","x"
"Wood","Large wood frequency","LWDFreq","Double",NA,"LWD_FREQ","C1WM100",NA,"LWFrq","x"
"Wood","Large wood volume","LWDVol","Double",NA,"LWD_VL","V1WM100","V1W_MSQ","LWVol","x"
"Macroinvertebrates","O/E Macroinvertebrate Index","OEratio","Double",NA,"OE_MACROINVRTBRTE","OE_SCORE",NA,NA,"x"
"Macroinvertebrates","Multimetric Macroinvertebrate Index","MMI","Double",NA,"MMI_MACROINVRTBRTE","BENT_MMI_COND",NA,NA,"x"
"Channel Characteristics","Beaver Present","BeaverPresent","Catagorial",NA,NA,NA,NA,NA,"x"
