input_id,water_name,water_name_ref,GNIS_NAME,LENGTHKM,PERMANENT_IDENTIFIER,COMID,REACHCODE,snap_xy,snap_m,closest_node_m,closest,name_check,mult_reach_ct,name_check_txt,mr_meas,message
FW08VA006,nan,nan,Little Fox Creek,6.314364648,1088183,1088183,5.0702E+12,POINT (-82.16766918338276 37.14584040928813),1511.091407,2473.690763,1,0,1,,25.53678,
FW08MS033,nan,nan,,2.311167615,15786698,15786698,3.18E+12,POINT (-89.4369876439532 32.65839531545784),1297.136175,1443.455846,1,0,1,"no name match, water name and or gnis name not provided",90.7306,
{9F2C0454-A707-4EF0-97B0-9438CA735143},nan,nan,Ash Creek,8.935389621,7960675,7960675,1.802E+13,POINT (-122.0699899213078 41.40954626870274),1285.962666,4398.258164,1,0.166666667,1,,49.04338,
FW08OR047,nan,nan,,5.598868758,22226490,22226490,1.80101E+13,POINT (-123.9945361176526 42.06918346767978),1182.334079,1652.661919,1,0,1,"no name match, water name and or gnis name not provided",63.89428,
FW08ME004,nan,nan,Orbeton Stream,1.220341826,3323202,3323202,1.03E+12,POINT (-70.39556874145269 44.89864021460956),1164.694748,1190.168075,1,0.235294118,1,nan,39.75377,
{7C6A9208-8AE6-193B-B32C-34AD3F094E95},nan,nan,Kugel Creek,7.123329985,23839264,23839264,1.71001E+13,POINT (-124.0806861835746 48.05258072485955),1136.776367,3052.260311,1,0,1,,44.47096,
FW08WY057,nan,nan,,1.199720205,12841794,12841794,1.008E+13,POINT (-108.037317875678 43.93637119821049),1073.710294,1798.550395,1,0,1,"no name match, water name and or gnis name not provided",8.55828,
BLM13-8130,WILLOW CREEK,willow creek,Willow Creek,2.97147619,20296739,20296739,1.808E+13,POINT (-120.4757875904329 40.48937420332884),1041.497188,1041.497188,3,1,1,exact name match,100,
RS-SS-0001,JACKNIFE SPRING,jacknife spring,,2.302910435,9989333,9989333,1.60402E+13,POINT (-119.8613667908874 41.24680000186578),1036.653441,1412.318141,1,0,1,"no name match, water name and or gnis name not provided",29.46555,
{192C4C7C-B03F-CAF9-B963-9DC3F84B0F96},nan,nan,Chiwawa River,2.118452342,23080816,23080816,1.702E+13,POINT (-120.8356899896739 48.04809492517413),1021.641067,1098.78998,1,0.125,1,nan,30.85796,
{5D1FC93B-15D7-42C8-879F-CC035025FD0C},nan,nan,Balls Branch,3.048439612,23936561,23936561,1.71003E+13,POINT (-123.1025543505911 42.27224231644639),929.9067344,1439.053937,1,0.266666667,1,,78.29937,
FW08TX168,nan,nan,Wichita River,4.535662202,13733820,13733820,1.11302E+13,POINT (-98.46564248945172 33.93495241999172),892.164555,1766.525246,1,0.125,1,,38.93927,
BLMMaster-12319,Cresent Creek,cresent creek,Crescent Creek,1.135909726,23706286,23706286,1.70703E+13,POINT (-121.6540669223246 43.52860519869554),620.5707041,706.8871785,2,0.962962963,1,most likely name match based on fuzzy match,24.24776,
UT_WD_SHEEPROCK-1019,UNNAMED,unnamed,,8.17584947,1196940,1196940,1.603E+13,POINT (-112.124030364253 39.79678717268476),474.4350118,6453.364547,1,0,1,"no name match, water name and or gnis name not provided",71.84448,
FW08NE081,nan,nan,Dry Spottedtail Creek,10.07692708,17507214,17507214,1.018E+13,POINT (-103.8161038820339 42.03427426788956),440.2090316,4042.286684,1,0.083333333,1,,71.97288,
FW08AR303,nan,nan,McKinney Bayou,1.006576677,19949390,19949390,1.11402E+13,POINT (-93.8105436983342 33.20421841524482),425.8484325,433.2348463,1,0.235294118,1,nan,3.04558,
{858D3B25-D889-4413-A107-C7287FC92ED3},nan,nan,,3.061432746,24242535,24242535,1.708E+13,POINT (-121.9754901213056 46.26870979523563),410.3791453,406.80425,1,0,1,"no name match, water name and or gnis name not provided",99.21906,
{56957183-331E-8868-DE3F-77C0CD3309A9},nan,nan,East Fork Hayfork Creek,1.096154295,8234558,8234558,1.80102E+13,POINT (-123.0494020621074 40.49704602798765),384.2154813,784.4024137,1,0.076923077,1,nan,38.57785,
{D152C99F-49C0-4050-95F5-17375B8A1166},nan,nan,,1.836097139,23915607,23915607,1.71003E+13,POINT (-123.934062209944 43.1215795641576),378.7603187,836.0043104,1,0,1,"no name match, water name and or gnis name not provided",42.60723,
{B006893E-CDB8-4FB2-986A-23A110928FFB},nan,nan,Canyon Creek,1.57671892,23700201,23700201,1.70703E+13,POINT (-121.6450179668386 44.50288598093728),375.7102818,601.943421,1,0.266666667,1,nan,19.60361,
FW08AR093,nan,nan,,5.844472335,19302945,19302945,8.05E+12,POINT (-91.28405610241396 33.22894921534265),360.2559597,969.1205122,1,0,1,"no name match, water name and or gnis name not provided",13.23076,
{A06CB8DD-B2C6-4819-B124-B7B97932C438},nan,nan,Horse Creek,3.85806003,23801742,23801742,1.709E+13,POINT (-122.4136036967795 44.94089531492604),343.5691515,927.5923704,1,0,1,,80.13719,
{44FA1E40-1BDD-4547-8C8A-B7BA888FC332},nan,nan,Poker Creek,0.544268394,23946109,23946109,1.71003E+13,POINT (-123.563285519146 41.95973500181637),313.7001619,374.1826956,1,0,1,nan,72.76575,
{8F7D21C4-9CC9-4076-A2B1-04616174C25F},nan,nan,McCredie Creek,2.956693662,23753514,23753514,1.709E+13,POINT (-122.2849091082977 43.70991599309476),292.2766541,413.4835757,1,0,1,nan,18.31935,
{90822171-E74B-4764-AD9A-BF05DD337349},nan,nan,Gobel Creek,4.050518551,23753496,23753496,1.709E+13,POINT (-122.3205818956819 43.73380828355641),221.1836574,1697.487325,1,0,1,nan,55.654,
{3EDCDC15-7BB2-433E-ACFC-ED81880E1AF4},nan,nan,Deschutes River,9.043294495,23700609,23700609,1.70703E+13,POINT (-121.7648478317061 43.8855594318856),213.7869076,5907.047904,1,0,1,,65.72452,
{7F906C71-D2A2-4FD5-BA11-D3C069B26CD2},nan,nan,Deschutes River,9.043294495,23700609,23700609,1.70703E+13,POINT (-121.7797588347686 43.86755077256417),208.9755604,3858.241343,1,0,1,,41.49091,
{5A9E55BE-47CC-4EC6-BF2A-BB98729E3AF0},nan,nan,Thompson Creek,2.826874092,23945387,23945387,1.71003E+13,POINT (-123.5205691191053 42.21321260094422),203.4306557,1253.342179,1,0.117647059,1,nan,48.76746,
{2B5AC63A-52EE-4DCA-91EB-30A3363C34D3},nan,nan,Cold Creek,3.612353808,24425029,24425029,1.703E+13,POINT (-121.2555209864089 46.61317386425058),197.9089296,2207.742568,1,0,1,,38.99878,
{FCD72ACE-5084-4E6E-BD50-31C6BADBBA61},nan,nan,Woodruff Creek,8.310189505,23923846,23923846,1.71003E+13,POINT (-122.4971253346494 42.89399207259149),190.231113,6324.433022,1,0,1,,21.03826,
{235F143C-68F5-4817-A1C8-A96C6F75A36A},nan,nan,,2.403083663,23774851,23774851,1.709E+13,POINT (-121.9512130424555 43.91681246060048),180.177244,1172.844348,1,0,1,"no name match, water name and or gnis name not provided",76.22805,
