GNIS_NAME,LENGTHKM,PERMANENT_IDENTIFIER,REACHCODE,COMID,closest_node_m,snap_m,snap_xy,closest,name_check,name_check_txt,input_id
White River,0.963075225,5309160,1.405E+13,5309160,164.7484925,35.55326661,POINT (-109.4020504061432 39.94234057543782),1,0.55,nan,BLM14-9422
,0.168158077,5309164,1.405E+13,5309164,164.7484925,164.7484925,POINT (-109.4002880081954 39.94193520483913),2,0,"no name match, water name and or gnis name not provided",BLM14-9422
White River,0.244965157,5309166,1.405E+13,5309166,164.7484925,164.7484925,POINT (-109.4002880081954 39.94193520483913),3,0.55,nan,BLM14-9422
White River,0.588391559,5309176,1.405E+13,5309176,323.5104781,323.5104781,POINT (-109.3984448740791 39.94156940533259),4,0.55,nan,BLM14-9422
,2.897930621,5309184,1.405E+13,5309184,64.57639015,51.67423488,POINT (-109.3431931808355 39.93971146739637),1,0,"no name match, water name and or gnis name not provided",BLMMaster-10333
White River,0.346859496,5309186,1.405E+13,5309186,64.57639015,64.56220655,POINT (-109.3433821068599 39.93957380766305),2,0.55,nan,BLMMaster-10333
White River,0.044365735,5309188,1.405E+13,5309188,64.57639015,64.57639015,POINT (-109.3433662070501 39.93957380471429),3,0.55,nan,BLMMaster-10333
,0.218583486,5309196,1.405E+13,5309196,86.8731911,80.73876183,POINT (-109.3427716742712 39.9395964709998),4,0,"no name match, water name and or gnis name not provided",BLMMaster-10333
White River,1.607689827,5308916,1.405E+13,5308916,641.1100924,2.27862416,POINT (-109.16102155944 39.96888874767392),1,0.55,nan,BLMMaster-11357
White River,0.229687935,5308898,1.405E+13,5308898,641.1100924,641.1100924,POINT (-109.1674992072195 39.97187607090682),2,0.55,nan,BLMMaster-11357
,0.184878571,5308896,1.405E+13,5308896,641.1100924,642.2334262,POINT (-109.1674398079193 39.97196767231052),3,0,"no name match, water name and or gnis name not provided",BLMMaster-11357
White River,0.577991366,5308886,1.405E+13,5308886,742.7501882,742.7501882,POINT (-109.1673810740945 39.97347767069196),4,0.55,nan,BLMMaster-11357
Missouri River,1.797292631,3012071,1.006E+13,3012071,851.9575923,126.4477251,POINT (-104.9753699015531 48.0884890002304),1,0.608695652,likely name match based on fuzzy match,BLM13-7082
,0.249564194,3011605,1.006E+13,3011605,1063.704538,820.6591776,POINT (-104.980899213891 48.09423492529717),2,0,"no name match, water name and or gnis name not provided",BLM13-7082
,0.097584544,3012029,1.006E+13,3012029,851.9575923,826.3152802,POINT (-104.9806300085266 48.09445678682224),3,0,"no name match, water name and or gnis name not provided",BLM13-7082
Missouri River,0.737705888,3012021,1.006E+13,3012021,851.9575923,851.9575923,POINT (-104.9801994137298 48.09496919176259),4,0.608695652,likely name match based on fuzzy match,BLM13-7082
White River,3.352538158,5309158,1.405E+13,5309158,361.8368324,106.1566658,POINT (-109.228900238238 39.94522907103503),1,0.594594595,nan,BLMMaster-12381
,1.471270447,5309088,1.405E+13,5309088,474.4168476,347.9945289,POINT (-109.2294668742417 39.94925947230649),2,0,"no name match, water name and or gnis name not provided",BLMMaster-12381
,1.06379825,5309132,1.405E+13,5309132,361.8368324,361.8368324,POINT (-109.2329718735867 39.94740340505759),3,0,"no name match, water name and or gnis name not provided",BLMMaster-12381
White River,0.156338795,5309102,1.405E+13,5309102,361.8368324,361.8368324,POINT (-109.2329718735867 39.94740340505759),4,0.594594595,nan,BLMMaster-12381
White River,0.872874068,5308834,1.405E+13,5308834,324.3268291,94.30560237,POINT (-109.4178876108659 39.98922916719236),1,0.594594595,nan,BLMMaster-13149
,2.272890162,5308804,1.405E+13,5308804,1047.770496,289.222591,POINT (-109.4162234889619 39.99237767267152),2,0,"no name match, water name and or gnis name not provided",BLMMaster-13149
,0.263192955,5308806,1.405E+13,5308806,324.3268291,324.3268291,POINT (-109.4215400073605 39.99041287124487),3,0,"no name match, water name and or gnis name not provided",BLMMaster-13149
White River,0.276795205,5308808,1.405E+13,5308808,324.3268291,324.3268291,POINT (-109.4215400073605 39.99041287124487),4,0.594594595,nan,BLMMaster-13149
Threemile Creek,2.800551211,10817084,1.603E+13,10817084,967.163159,15.79538465,POINT (-112.4902510672074 37.86090250453748),1,0.740740741,likely name match based on fuzzy match,CL-TR-1289
,2.251566001,10817074,1.603E+13,10817074,826.921719,455.0153886,POINT (-112.4898707382607 37.86481173786377),2,0,"no name match, water name and or gnis name not provided",CL-TR-1289
Threemile Creek,2.760698025,10819142,1.603E+13,10819142,967.163159,967.163159,POINT (-112.5003424691999 37.864329807724),3,0.740740741,likely name match based on fuzzy match,CL-TR-1289
,3.758137035,10819140,1.603E+13,10819140,967.163159,967.163159,POINT (-112.5003424691999 37.864329807724),4,0,"no name match, water name and or gnis name not provided",CL-TR-1289
Abel Creek,6.876036529,11138096,1.60401E+13,11138096,858.1945156,20.4109951,POINT (-117.6233708746077 41.42933616825997),1,1,exact name match,BLM13-4163
Stone House Creek,4.532922217,11138100,1.60401E+13,11138100,858.1945156,469.1471414,POINT (-117.6240018657343 41.42504795619673),2,0.518518519,nan,BLM13-4163
,8.230416026,11138098,1.60401E+13,11138098,1244.438323,618.3634833,POINT (-117.6197291775326 41.43396301061171),3,0,"no name match, water name and or gnis name not provided",BLM13-4163
Stone House Creek,3.474485645,11138116,1.60401E+13,11138116,858.1945156,858.1945156,POINT (-117.6178187283417 41.42285240307967),4,0.518518519,nan,BLM13-4163
Abrams Creek,6.940401823,1319536,1.401E+13,1319536,2495.451182,7.339795906,POINT (-106.8469032865826 39.59874923783538),1,1,exact name match,BLMMaster-10557
,5.026547991,1319408,1.401E+13,1319408,961.1209886,961.1209886,POINT (-106.852345277558 39.60633660523423),2,0,"no name match, water name and or gnis name not provided",BLMMaster-10557
Hernage Creek,6.776495626,1319676,1.401E+13,1319676,2297.071104,1011.640423,POINT (-106.8409039661805 39.59102844579925),3,0.64,likely name match based on fuzzy match,BLMMaster-10557
Alkali Creek,1.767678113,1319480,1.401E+13,1319480,1348.302232,1348.302232,POINT (-106.8607772777307 39.59297580534579),4,0.666666667,likely name match based on fuzzy match,BLMMaster-10557
Agency Creek,1.668267426,23513222,1.70602E+13,23513222,154.1562886,43.34892378,POINT (-113.5182602080912 44.97487412482393),1,1,exact name match,BLMMaster-13770
Agency Creek,1.107184655,23513224,1.70602E+13,23513224,154.1562886,154.1562886,POINT (-113.5165706681746 44.9753215967468),2,1,exact name match,BLMMaster-13770
,2.527683947,23513558,1.70602E+13,23513558,154.1562886,154.1562886,POINT (-113.5165706681746 44.9753215967468),3,0,"no name match, water name and or gnis name not provided",BLMMaster-13770
Agency Creek,0.562216922,23513226,1.70602E+13,23513226,1217.981059,1217.981059,POINT (-113.5036232673208 44.97826273008964),4,1,exact name match,BLMMaster-13770
Flume Creek,1.287570929,23514550,1.70602E+13,23514550,1217.981059,1217.981059,POINT (-113.5036232673208 44.97826273008964),5,0.608695652,likely name match based on fuzzy match,BLMMaster-13770
Rio Grande,0.310216681,17833186,1.30202E+13,17833186,152.6903903,7.847122911,POINT (-106.1594053817392 35.84043751364703),1,0.260869565,nan,FMD-TR-002
Rio Grande,0.237628082,17833188,1.30202E+13,17833188,152.6903903,152.6903903,POINT (-106.1589860119835 35.83908981104005),2,0.260869565,nan,FMD-TR-002
,0.537375905,17833192,1.30202E+13,17833192,152.6903903,153.5812398,POINT (-106.1591113359136 35.83905571301699),3,0,"no name match, water name and or gnis name not provided",FMD-TR-002
Rio Grande,4.295488609,17833174,1.30202E+13,17833174,153.8908453,153.8908453,POINT (-106.1601682788533 35.84165401065572),4,0.260869565,nan,FMD-TR-002
,3.31419231,17833176,1.30202E+13,17833176,153.8908453,153.8908453,POINT (-106.1601682788533 35.84165401065572),5,0,"no name match, water name and or gnis name not provided",FMD-TR-002
,5.070567834,8951254,1.60402E+13,8951254,1979.50779,1.906524313,POINT (-120.0591045967799 40.66448332924335),1,0,"no name match, water name and or gnis name not provided",BLM13-8215
Smoke Creek,4.445398577,8951266,1.60402E+13,8951266,1619.758645,905.8833666,POINT (-120.0630839239185 40.65698186973621),2,0.105263158,nan,BLM13-8215
,5.070567834,8951254,1.60402E+13,8951254,514.5507587,45.40158686,POINT (-120.0422376503088 40.65849877483135),1,0,"no name match, water name and or gnis name not provided",BLM13-8231
Smoke Creek,4.445398577,8951266,1.60402E+13,8951266,1298.791473,441.8663559,POINT (-120.0447117240242 40.65518547005009),2,0.105263158,nan,BLM13-8231
,1.240581168,8951268,1.60402E+13,8951268,514.5507587,514.5507587,POINT (-120.0365093911637 40.65936306966913),3,0,"no name match, water name and or gnis name not provided",BLM13-8231
,2.611641241,8951252,1.60402E+13,8951252,514.5507587,538.0230697,POINT (-120.0379765244387 40.66213107026752),4,0,"no name match, water name and or gnis name not provided",BLM13-8231
Alamosa River,5.698032195,17898807,1.301E+13,17898807,1087.742341,81.78426513,POINT (-106.324341788783 37.37220328288328),1,1,exact name match,BLMMaster-24962
,3.269169235,17897783,1.301E+13,17897783,969.9719478,925.7840528,POINT (-106.3236392793174 37.38117507473456),2,0,"no name match, water name and or gnis name not provided",BLMMaster-24962
Alamosa River,3.073149069,17898889,1.301E+13,17898889,1087.742341,1087.742341,POINT (-106.3120288119975 37.37187580777363),3,1,exact name match,BLMMaster-24962
Willow Creek,3.336687278,17898803,1.301E+13,17898803,1481.290319,1481.290319,POINT (-106.3290010116942 37.38564100917502),4,0.16,nan,BLMMaster-24962
Alder Creek,8.142507604,17886682,1.301E+13,17886682,2312.470807,16.84534138,POINT (-106.057992117898 38.36712989687202),1,1,exact name match,FR-TR-002
Alder Creek,2.300896976,23031342,1.702E+13,23031342,227.5322273,9.886075184,POINT (-118.0751080938983 48.03877675712192),1,1,exact name match,BLMMaster-25359
South Fork Chamokane Creek,2.511048346,23022096,1.70103E+13,23022096,989.7773987,989.7773987,POINT (-118.0633127935825 48.03500052499635),2,0.378378378,nan,BLMMaster-25359
Sand Creek,5.1048285,23022056,1.70103E+13,23022056,1246.804812,1251.217607,POINT (-118.07616132735 48.02748512601388),3,0.761904762,most likely name match based on fuzzy match,BLMMaster-25359
,2.168367644,23033860,1.702E+13,23033860,1771.824046,1350.270715,POINT (-118.0928600085451 48.04112753480692),4,0,"no name match, water name and or gnis name not provided",BLMMaster-25359
Alkali Creek,4.256837243,3193564,1.40401E+13,3193564,1420.293397,11.00418975,POINT (-110.4376274902574 41.79519488176906),1,1,exact name match,BLMMaster-15441
,1.780227308,3193566,1.40401E+13,3193566,1420.293397,1292.143617,POINT (-110.4395122057975 41.78376526891441),2,0,"no name match, water name and or gnis name not provided",BLMMaster-15441
Alkali Creek,0.844695586,3193574,1.40401E+13,3193574,1420.293397,1420.293397,POINT (-110.4353542718934 41.78266940176492),3,1,exact name match,BLMMaster-15441
Allison Creek,3.119281065,23503794,1.70602E+13,23503794,243.0615744,9.902403466,POINT (-113.9661180475504 44.76857801352703),1,1,exact name match,BLMMaster-30074
Allison Creek,0.676243089,23503796,1.70602E+13,23503796,243.0615744,243.0615744,POINT (-113.9641202668947 44.77030033095979),2,1,exact name match,BLMMaster-30074
