SiteID,BRLat,BRLong,StreamName,Program
FW08KS001,39.01490805,-98.01046463,NA,EPA
FW08KS003,37.3952849,-98.92627961,NA,EPA
FW08KS005,38.19892655,-95.42768365,NA,EPA
FW08KS006,37.47701976,-98.36534065,NA,EPA
FW08KS012,37.78662431,-96.42997007,NA,EPA
FW08KS036,37.99322599,-99.32134205,NA,EPA
FW08KS039,39.01570904,-95.84061299,NA,EPA
FW08KS033,37.97450198,-101.7879598,NA,EPA
FW08DE001,39.3588435,-75.67549416,NA,EPA
FW08DE013,39.7302915,-75.59800358,NA,EPA
FW08NV003,40.31657757,-116.901529,NA,EPA
FW08NV069,41.88666095,-114.6866143,NA,EPA
FW08NV004,40.90311286,-115.224256,NA,EPA
FW08NV005,39.21792949,-117.0595203,NA,EPA
FW08NV006,41.41766741,-116.0342696,NA,EPA
FW08NV008,41.71522014,-115.2289633,NA,EPA
FW08NV009,38.32750793,-114.2774604,NA,EPA
FW08NV010,41.80682461,-115.7046045,NA,EPA
FW08NV011,41.21398709,-116.3987168,NA,EPA
FW08NV012,41.92147277,-119.4433402,NA,EPA
FW08NV014,40.74129868,-115.5543686,NA,EPA
FW08NV015,41.01579472,-116.0832885,NA,EPA
FW08NV019,40.70240853,-116.5235212,NA,EPA
FW08NV022,41.77179727,-117.8060453,NA,EPA
FW08NV026,41.3973601,-117.4646693,NA,EPA
FW08NV028,41.40884387,-118.9109046,NA,EPA
FW08NV029,39.21428861,-114.5413454,NA,EPA
FW08NV031,40.81470323,-115.8061406,NA,EPA
FW08NV032,36.6417447,-114.5318165,NA,EPA
FW08NV033,38.85858259,-115.6673318,NA,EPA
FW08NV034,40.91002543,-117.9097195,NA,EPA
FW08NV035,40.68600234,-116.7624855,NA,EPA
FW08NV037,41.87729618,-115.6285161,NA,EPA
FW08NV038,41.9957489,-117.7707249,NA,EPA
FW08NV049,38.8505517,-116.6048621,NA,EPA
FW08NV040,39.08215943,-119.7573042,NA,EPA
FW08NV050,40.41024065,-118.3154415,NA,EPA
FW08NV051,40.64965565,-116.7790317,NA,EPA
FW08NV053,41.95776506,-115.863833,NA,EPA
FW08NV054,41.27385024,-118.4605996,NA,EPA
FW08NV056,39.20075374,-119.6299202,NA,EPA
FW08NV057,41.13161753,-115.4997593,NA,EPA
FW08NV058,40.78824389,-117.0442313,NA,EPA
FW08NV041,41.32039998,-115.657142,NA,EPA
FW08NV039,41.77125165,-117.3829874,NA,EPA
FW08NV062,41.00564814,-117.3393351,NA,EPA
FW08NV063,40.394948,-116.1206756,NA,EPA
FW08NV065,38.78147873,-117.3401678,NA,EPA
FW08NV066,40.69720892,-118.1006986,NA,EPA
FW08OR001,43.64952824,-124.0956116,NA,EPA
FW08OR002,45.36811658,-119.446251,NA,EPA
FW08OR004,44.62318544,-119.6383494,NA,EPA
FW08OR005,44.89842988,-117.4241613,NA,EPA
FW08OR006,43.87510264,-123.5025807,NA,EPA
FW08OR008,45.11449914,-116.8564475,NA,EPA
FW08OR009,45.30045298,-123.4774717,NA,EPA
FW08OR010,43.09695281,-122.4115116,NA,EPA
FW08OR043,43.61498688,-122.7664621,NA,EPA
FW08OR047,42.07214556,-124.0083463,NA,EPA
FW08OR050,43.1011809,-122.8297464,NA,EPA
FW08OR045,44.90149003,-118.4770479,NA,EPA
FW08OR052,44.85146182,-118.1429123,NA,EPA
FW08OR069,45.19312941,-118.704127,NA,EPA
FW08CO001,37.36588354,-108.5932791,NA,EPA
FW08CO003,39.73087609,-108.6747246,NA,EPA
FW08CO006,39.6430304,-107.7110185,NA,EPA
FW08CO010,39.34428,-104.9728388,NA,EPA
FW08CO012,39.2413809,-104.9580488,NA,EPA
FW08CO013,37.79720049,-103.3774933,NA,EPA
FW08CO014,39.89246561,-105.0565383,NA,EPA
FW08CO017,40.97146712,-107.0196069,NA,EPA
FW08CO019,39.38895974,-104.8672149,NA,EPA
FW08CO020,38.06505925,-102.3363777,NA,EPA
FW08CO021,39.98812383,-108.7779574,NA,EPA
FW08CO027,39.36936448,-106.4524344,NA,EPA
FW08CO031,40.15970307,-105.1184267,NA,EPA
FW08CO038,39.07659754,-106.0063979,NA,EPA
FW08CO073,37.06135096,-105.982904,NA,EPA
FW08CO076,39.63865573,-102.1136539,NA,EPA
FW08CO103,38.60455418,-106.4649269,NA,EPA
FW08IL006,37.52548104,-89.18786253,NA,EPA
FW08VT003,43.94606478,-72.71105066,NA,EPA
FW08VT004,44.8061487,-72.13634495,NA,EPA
FW08VT005,44.21421333,-72.96547209,NA,EPA
FW08VT007,43.90350564,-72.8253244,NA,EPA
FW08VT008,43.04998903,-72.72147128,NA,EPA
FW08TX003,30.28718756,-98.89560053,NA,EPA
FW08TX004,32.28043629,-97.97061693,NA,EPA
FW08TX010,30.5975647,-98.06989927,NA,EPA
FW08TX011,33.06838281,-94.46843757,NA,EPA
FW08TX017,31.54151415,-97.41663635,NA,EPA
FW08TX031,30.87365616,-97.62101278,NA,EPA
FW08TX045,32.46103578,-94.70198008,NA,EPA
FW08IN002,39.41488769,-86.0084241,NA,EPA
FW08IN003,40.07580709,-84.84430651,NA,EPA
FW08IN004,41.09378365,-85.80106993,NA,EPA
FW08IN005,40.76092777,-84.98838699,NA,EPA
FW08IN016,38.35094769,-86.61831604,NA,EPA
FW08IN023,40.54494518,-84.92548748,NA,EPA
FW08IN018,38.71122902,-87.17757112,NA,EPA
FW08IN028,39.6101024,-84.95963267,NA,EPA
FW08IN029,41.60258314,-86.11116261,NA,EPA
FW08IA002,42.97978705,-91.67293625,NA,EPA
FW08IA004,40.82880459,-95.20484547,NA,EPA
FW08IA005,42.9935657,-95.07848105,NA,EPA
FW08IA008,42.7025234,-91.92311051,NA,EPA
FW08IA009,42.76793004,-92.3558993,NA,EPA
FW08IA011,40.67346652,-95.31217703,NA,EPA
FW08IA013,43.13852294,-91.60842526,NA,EPA
FW08IA014,42.21851513,-92.74238821,NA,EPA
FW08IA016,40.87133759,-94.91030404,NA,EPA
FW08IA017,42.56080476,-90.94028977,NA,EPA
FW08IA023,40.87373291,-95.597704,NA,EPA
FW08IA027,41.37959378,-94.89794017,NA,EPA
FW08IA028,41.85046039,-94.0261349,NA,EPA
FW08IA031,42.40438954,-95.87348016,NA,EPA
FW08IA036,43.35914965,-93.86842916,NA,EPA
FW08IA041,42.19419472,-91.39223307,NA,EPA
FW08IA042,42.80455827,-91.53054161,NA,EPA
FW08IA043,41.587557,-94.39743921,NA,EPA
FW08IA048,41.21823045,-93.86450662,NA,EPA
FW08IA054,42.61752156,-91.28994821,NA,EPA
FW08IA055,40.68790173,-93.96833011,NA,EPA
FW08RIN9035,39.01349127,-85.50106931,NA,EPA
